MATERIAL_NO,MDM_MATCH,MANUFACTURER_NAME_1,MANUFACTURER_PT_NO_1,NOUN_ENGLISH,MODIFIER_ENGLISH,
1095204,Yes,GATES,3VX560,BELT,V,
1095618,Yes,GATES,A42,BELT,V,
1096173,Yes,GATES,270L050,BELT,TIMING,
1096853,Yes,GATES,A60,BELT,V,
1096990,Yes,GATES,4L500,BELT,V,
1097641,Yes,GATES,AX55,BELT,V,
1097693,Yes,GATES,B34,BELT,V,
1098224,No,GATES,2310-14M-85,BELT,TIMING,BELT|TIMING
1098527,Yes,GATES,5L330,BELT,V,
1099234,No,GATES,3920-14M-68,BELT,TIMING,BELT|TIMING
1099243,Yes,GATES,AX26,BELT,V,
1099310,Yes,GATES,630H075,BELT,TIMING,
1099381,Yes,GATES,B61,BELT,V,
1100213,New,GATES,2830V393,BELT,V,BELT|V
1100413,No,GATES,966-14M-115,BELT,TIMING,BELT|TIMING
1100654,Yes,GATES,1120XH300,BELT,TIMING,
1100940,No,GATES,1400-14M-40,BELT,TIMING,BELT|TIMING
1101050,Yes,BROWNING,600L100,BELT,TIMING,
1101140,No,GATES,3/B46,BELT,V,BELT|V
1101283,Yes,GATES,4L360,BELT,V,
1101423,Yes,GATES,3L400,BELT,V,
1101473,Yes,GATES,2240-14M-68,BELT,TIMING,
1101927,No,GATES,2310-14M-170,BELT,TIMING,BELT|TIMING
1102005,New,GATES,4/C105,BELT,V,BELT|V
1102401,No,GATES,3360-14M-85,BELT,TIMING,BELT|TIMING
1103110,Yes,GATES,CV450,BELT,V,
1103157,Yes,,DY10123,BELT,TIMING,
1103414,Yes,GATES,2230V326,BELT,V,
1103541,No,GATES,1600XXHA250,BELT,TIMING,BELT|TIMING
1104037,Yes,GATES,367L075,BELT,TIMING,
1104363,Yes,GATES,3V335,BELT,V,
1104477,Yes,BROWNING,322L050,BELT,TIMING,
1104826,No,GATES,2/3VX500,BELT,V,BELT|V
1105563,No,,2290 UIK,BELT,V,BELT|V
1105690,Yes,GATES,A43,BELT,V,
1105714,No,,5/5V950,BELT,V,BELT|V
1105758,No,CARTER DAY INTERNATIONAL,C96,BELT,V,BELT|V
1105857,No,,3V400,BELT,V,BELT|V
1105888,Yes,FS ELLIOT,23111396,BELT,V,
1105940,New,GATES,5V670,BELT,V,BELT|V
1105965,Yes,,4L240,BELT,V,
1106022,No,FS ELLIOT,23100753,BELT,V,BELT|V
1106276,Yes,,5V1320,BELT,V,
1106750,No,,4/5V1500,BELT,V,BELT|V
1107388,No,BROWNING,8V2000,BELT,V,BELT|V
1107438,No,,3/3V400,BELT,V,BELT|V
1108056,No,DOALL SOUTH BEND,4L260,BELT,V,BELT|V
1108485,Yes,,B48,BELT,V,
1108875,No,FS ELLIOT,5V1600,BELT,V,BELT|V
1109208,Yes,,5V1900,BELT,V,
1109238,No,,225L050,BELT,TIMING,BELT|TIMING
1109520,No,GRAVER WATER,B42,BELT,V,BELT|V
1109829,Yes,GATES,3VX530,BELT,V,
1110020,No,,BX93,BELT,V,BELT|V
1110129,No,HYTROL,AP26,BELT,V,BELT|V
1110367,Yes,GATES,4L380,BELT,V,
1110426,New,GATES,4/5V2360,BELT,V,BELT|V
1111532,No,,3L440,BELT,V,BELT|V
1111610,Yes,FS ELLIOT,23018740,BELT,V,
